,PassengerId,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck
104,0110_02,0.0,331.0,0.0,0.0,1687.0
105,0110_03,2209.0,11418.0,0.0,1868.0,445.0
106,0110_04,0.0,0.0,0.0,0.0,0.0
107,0111_01,0.0,0.0,0.0,0.0,0.0
108,0112_01,0.0,2537.0,87.0,17.0,13.0
109,0113_01,0.0,0.0,804.0,0.0,0.0
110,0114_01,82.0,157.0,429.0,238.0,1.0
111,0115_01,0.0,0.0,0.0,0.0,
112,0116_01,1.0,2223.0,0.0,12.0,404.0
113,0119_01,0.0,2344.0,0.0,65.0,6898.0
114,0119_02,0.0,0.0,0.0,0.0,0.0
115,0120_01,0.0,0.0,0.0,0.0,
116,0122_01,0.0,0.0,0.0,699.0,74.0
117,0123_01,55.0,597.0,49.0,0.0,1.0
118,0126_01,0.0,0.0,0.0,0.0,0.0
119,0127_01,701.0,0.0,296.0,0.0,25.0
120,0128_01,2353.0,334.0,9.0,316.0,2.0
121,0128_02,2103.0,6.0,0.0,0.0,0.0
122,0129_01,0.0,0.0,,0.0,0.0
123,0133_01,0.0,0.0,0.0,0.0,0.0
124,0133_02,2738.0,0.0,0.0,0.0,0.0
125,0134_01,0.0,14.0,730.0,0.0,0.0
126,0136_01,97.0,418.0,126.0,25.0,55.0
127,0138_01,0.0,0.0,0.0,0.0,0.0
128,0138_02,0.0,22.0,0.0,564.0,207.0
129,0139_01,0.0,0.0,0.0,0.0,0.0
130,0140_01,0.0,0.0,0.0,0.0,0.0
131,0140_02,440.0,0.0,0.0,0.0,462.0
132,0141_01,,0.0,97.0,0.0,0.0
133,0144_01,0.0,420.0,210.0,0.0,0.0
134,0146_01,0.0,0.0,0.0,0.0,0.0
135,0147_01,0.0,0.0,0.0,0.0,0.0
136,0148_01,1072.0,0.0,10.0,0.0,76.0
137,0149_01,0.0,0.0,0.0,0.0,0.0
138,0151_01,0.0,0.0,0.0,0.0,0.0
139,0152_01,0.0,0.0,0.0,0.0,607.0
140,0160_01,4119.0,0.0,0.0,0.0,61.0
141,0163_01,0.0,0.0,0.0,0.0,0.0
142,0163_02,0.0,0.0,0.0,0.0,0.0
143,0164_01,50.0,1688.0,0.0,,135.0
144,0164_02,0.0,0.0,0.0,0.0,0.0
145,0165_01,0.0,0.0,0.0,0.0,0.0
146,0167_01,0.0,0.0,0.0,0.0,0.0
147,0167_02,1365.0,0.0,48.0,22.0,137.0
148,0169_01,0.0,0.0,0.0,0.0,0.0
149,0170_01,0.0,0.0,0.0,221.0,567.0
150,0171_01,0.0,0.0,0.0,0.0,0.0
151,0172_01,0.0,0.0,0.0,0.0,0.0
152,0173_01,0.0,985.0,0.0,5.0,0.0
153,0174_01,287.0,0.0,16.0,115.0,175.0
154,0177_01,0.0,10346.0,1.0,14970.0,2111.0
155,0178_01,3414.0,0.0,161.0,28.0,119.0
156,0179_01,1.0,219.0,673.0,2.0,11.0
157,0179_02,0.0,0.0,0.0,0.0,0.0
158,0179_03,0.0,0.0,0.0,0.0,0.0
159,0181_01,0.0,0.0,3.0,299.0,92.0
160,0182_01,0.0,0.0,0.0,0.0,0.0
161,0183_01,17.0,146.0,426.0,0.0,232.0
162,0186_01,62.0,0.0,0.0,0.0,956.0
163,0188_01,0.0,0.0,0.0,0.0,0.0
164,0189_01,84.0,3.0,401.0,202.0,98.0
165,0190_01,0.0,0.0,0.0,0.0,0.0
166,0192_01,0.0,0.0,0.0,0.0,0.0
167,0192_02,0.0,0.0,0.0,0.0,0.0
168,0192_03,0.0,0.0,10.0,898.0,0.0
169,0193_01,0.0,0.0,0.0,0.0,0.0
170,0193_02,,0.0,8.0,1072.0,0.0
171,0193_03,0.0,0.0,0.0,0.0,0.0
172,0195_01,406.0,0.0,867.0,0.0,0.0
173,0196_01,1052.0,0.0,719.0,0.0,7.0
174,0197_01,0.0,972.0,0.0,795.0,575.0
175,0198_01,0.0,0.0,0.0,0.0,0.0
176,0199_01,0.0,0.0,0.0,0.0,0.0
177,0200_01,0.0,0.0,0.0,0.0,0.0
178,0201_01,0.0,0.0,0.0,0.0,0.0
179,0201_02,0.0,0.0,0.0,0.0,0.0
180,0202_01,0.0,0.0,0.0,0.0,0.0
181,0202_02,0.0,2433.0,,878.0,443.0
182,0203_01,0.0,0.0,0.0,0.0,0.0
183,0205_01,0.0,2.0,66.0,0.0,705.0
184,0206_01,2.0,1720.0,12.0,1125.0,122.0
185,0207_01,0.0,0.0,0.0,0.0,0.0
186,0210_01,0.0,0.0,,0.0,0.0
187,0211_01,902.0,1.0,137.0,0.0,0.0
188,0211_02,0.0,0.0,0.0,0.0,0.0
189,0211_03,848.0,0.0,307.0,182.0,0.0
190,0212_01,192.0,0.0,0.0,51.0,739.0
191,0212_02,147.0,188.0,0.0,10.0,387.0
192,0213_01,367.0,281.0,0.0,0.0,146.0
193,0216_01,0.0,56.0,0.0,0.0,1918.0
194,0217_01,1517.0,0.0,0.0,27.0,0.0
195,0219_01,0.0,0.0,0.0,0.0,0.0
196,0220_01,0.0,0.0,0.0,0.0,0.0
197,0220_02,0.0,0.0,0.0,0.0,0.0
198,0220_03,0.0,0.0,0.0,0.0,0.0
199,0220_04,122.0,84.0,,0.0,0.0
200,0220_05,0.0,3.0,0.0,0.0,1099.0
201,0220_06,0.0,0.0,0.0,0.0,0.0
202,0220_07,0.0,0.0,0.0,0.0,0.0
203,0221_01,2237.0,0.0,119.0,0.0,0.0
204,0221_02,1215.0,80.0,1.0,2.0,0.0
205,0221_03,1933.0,12.0,188.0,1.0,0.0
206,0221_04,0.0,0.0,0.0,0.0,0.0
207,0221_05,1230.0,0.0,301.0,43.0,1023.0
208,0221_06,915.0,0.0,221.0,234.0,0.0
209,0221_07,0.0,0.0,0.0,0.0,0.0
210,0222_01,1406.0,0.0,0.0,11.0,0.0
211,0222_02,0.0,0.0,0.0,0.0,0.0
212,0222_03,0.0,0.0,0.0,0.0,0.0
213,0223_01,0.0,2.0,665.0,0.0,9.0
214,0224_01,181.0,0.0,5.0,1634.0,0.0
215,0225_01,0.0,0.0,0.0,0.0,0.0
216,0229_01,4.0,7.0,0.0,713.0,79.0
217,0231_01,85.0,0.0,1.0,1720.0,0.0
218,0232_01,0.0,,0.0,0.0,0.0
219,0233_01,56.0,0.0,256.0,1438.0,0.0
220,0234_01,,888.0,0.0,0.0,0.0
221,0237_01,0.0,0.0,0.0,0.0,0.0
222,0239_01,637.0,0.0,0.0,92.0,319.0
223,0240_01,0.0,0.0,0.0,0.0,0.0
224,0241_01,0.0,1249.0,0.0,4812.0,1116.0
225,0242_01,313.0,1.0,691.0,283.0,0.0
226,0243_01,0.0,0.0,0.0,0.0,0.0
227,0244_01,0.0,0.0,0.0,0.0,0.0
228,0244_02,0.0,0.0,0.0,0.0,0.0
229,0245_01,0.0,3571.0,0.0,0.0,7.0
230,0245_02,0.0,86.0,796.0,584.0,10912.0
231,0246_01,2947.0,0.0,287.0,27.0,0.0
232,0248_01,0.0,1.0,0.0,8620.0,1063.0
233,0250_01,,0.0,0.0,0.0,0.0
234,0251_01,0.0,0.0,0.0,0.0,0.0
235,0252_01,335.0,695.0,541.0,0.0,0.0
236,0253_01,272.0,615.0,0.0,0.0,1.0
237,0254_01,702.0,172.0,408.0,2.0,6.0
238,0255_01,0.0,0.0,0.0,0.0,0.0
239,0257_01,1664.0,0.0,,0.0,0.0
240,0257_02,0.0,0.0,0.0,0.0,0.0
241,0258_01,0.0,0.0,313.0,299.0,92.0
242,0260_01,0.0,4810.0,0.0,981.0,2054.0
243,0261_01,66.0,29.0,0.0,0.0,803.0
244,0263_01,0.0,0.0,0.0,0.0,0.0
245,0265_01,0.0,0.0,0.0,,0.0
246,0267_01,118.0,0.0,0.0,754.0,1.0
247,0269_01,0.0,231.0,592.0,0.0,0.0
248,0270_01,0.0,25.0,128.0,0.0,1240.0
249,0275_01,0.0,0.0,0.0,0.0,0.0
250,0277_01,44.0,2390.0,0.0,53.0,0.0
251,0278_01,0.0,0.0,0.0,888.0,
252,0278_02,0.0,97.0,0.0,14.0,333.0
253,0281_01,0.0,0.0,2078.0,0.0,0.0
254,0282_01,0.0,918.0,0.0,0.0,0.0
255,0283_01,0.0,0.0,0.0,0.0,0.0
256,0283_02,146.0,654.0,1.0,0.0,2.0
257,0285_01,0.0,0.0,0.0,0.0,0.0
258,0285_02,0.0,0.0,0.0,0.0,0.0
259,0286_01,3.0,1281.0,29.0,162.0,13.0
260,0287_01,0.0,0.0,0.0,0.0,0.0
261,0287_02,0.0,587.0,32.0,6.0,1460.0
262,0288_01,0.0,0.0,0.0,0.0,828.0
263,0289_01,0.0,0.0,0.0,0.0,0.0
264,0290_01,0.0,4458.0,0.0,1157.0,262.0
265,0290_02,0.0,0.0,0.0,0.0,0.0
266,0290_03,0.0,0.0,0.0,0.0,0.0
267,0290_04,0.0,0.0,0.0,0.0,0.0
268,0291_01,0.0,6500.0,88.0,1090.0,0.0
269,0294_01,0.0,0.0,0.0,,0.0
270,0297_01,90.0,2.0,1324.0,17.0,0.0
271,0298_01,0.0,0.0,0.0,0.0,0.0
272,0301_01,0.0,0.0,0.0,0.0,0.0
273,0302_01,0.0,0.0,15.0,0.0,1370.0
274,0303_01,0.0,0.0,0.0,0.0,0.0
275,0304_01,0.0,422.0,0.0,1851.0,5166.0
276,0305_01,0.0,584.0,0.0,20.0,2469.0
277,0306_01,368.0,175.0,259.0,1.0,101.0
278,0307_01,0.0,0.0,1359.0,0.0,0.0
279,0309_01,1194.0,0.0,157.0,6.0,0.0
280,0310_01,,230.0,0.0,4476.0,241.0
281,0313_01,7.0,540.0,1.0,0.0,4.0
282,0313_02,0.0,0.0,,0.0,0.0
283,0313_03,331.0,0.0,0.0,318.0,0.0
284,0313_04,0.0,0.0,0.0,0.0,0.0
285,0314_01,386.0,0.0,74.0,0.0,1330.0
286,0315_01,0.0,0.0,0.0,0.0,0.0
287,0316_01,0.0,2628.0,,170.0,0.0
288,0316_02,0.0,0.0,0.0,0.0,
289,0320_01,0.0,2.0,0.0,,0.0
290,0320_02,0.0,5.0,3.0,0.0,
291,0321_01,1018.0,0.0,209.0,0.0,0.0
292,0322_01,0.0,0.0,0.0,0.0,0.0
293,0324_01,0.0,0.0,0.0,0.0,0.0
294,0326_01,0.0,0.0,0.0,0.0,0.0
295,0327_01,17.0,0.0,784.0,0.0,2.0
296,0330_01,0.0,0.0,0.0,0.0,0.0
297,0330_02,247.0,4651.0,0.0,46.0,202.0
298,0330_03,443.0,317.0,0.0,148.0,1260.0
299,0331_01,0.0,0.0,251.0,0.0,552.0
300,0333_01,0.0,0.0,0.0,0.0,0.0
301,0334_01,5715.0,2.0,211.0,1476.0,0.0
302,0336_01,695.0,1.0,16.0,0.0,0.0
303,0337_01,0.0,0.0,0.0,0.0,0.0
304,0337_02,417.0,349.0,634.0,3.0,1057.0
305,0337_03,0.0,0.0,0.0,0.0,0.0
306,0338_01,0.0,0.0,,0.0,0.0
307,0340_01,0.0,0.0,0.0,0.0,0.0
308,0341_01,0.0,0.0,0.0,0.0,0.0
309,0343_01,121.0,0.0,0.0,274.0,907.0
310,0345_01,0.0,0.0,0.0,0.0,0.0
311,0346_01,0.0,0.0,0.0,0.0,0.0
312,0347_01,434.0,0.0,1434.0,0.0,0.0
313,0348_01,142.0,2876.0,202.0,3.0,0.0
314,0348_02,520.0,0.0,1865.0,0.0,0.0
315,0350_01,0.0,0.0,0.0,0.0,0.0
316,0352_01,2001.0,0.0,2975.0,0.0,0.0
317,0355_01,0.0,0.0,0.0,0.0,0.0
318,0356_01,0.0,0.0,0.0,0.0,0.0
319,0357_01,,1198.0,0.0,124.0,572.0
320,0358_01,0.0,0.0,0.0,0.0,0.0
321,0358_02,0.0,0.0,0.0,0.0,0.0
322,0359_01,148.0,0.0,453.0,0.0,88.0
323,0360_01,358.0,212.0,33.0,0.0,112.0
324,0361_01,0.0,36.0,0.0,280.0,417.0
325,0365_01,0.0,0.0,0.0,685.0,21.0
326,0368_01,2832.0,107.0,4447.0,15.0,4.0
327,0368_02,0.0,0.0,0.0,0.0,0.0
328,0369_01,0.0,0.0,592.0,177.0,58.0
329,0370_01,0.0,95.0,0.0,441.0,1023.0
330,0371_01,0.0,0.0,0.0,0.0,0.0
331,0372_01,0.0,5.0,0.0,2766.0,0.0
332,0373_01,0.0,0.0,0.0,0.0,0.0
333,0375_01,0.0,0.0,558.0,0.0,230.0
334,0376_01,116.0,0.0,786.0,6.0,0.0
335,0377_01,0.0,1068.0,0.0,176.0,8188.0
336,0378_01,17.0,215.0,4.0,5132.0,697.0
337,0378_02,0.0,0.0,0.0,0.0,0.0
338,0378_03,5649.0,235.0,7.0,2579.0,2175.0
339,0378_04,0.0,0.0,0.0,0.0,0.0
340,0378_05,0.0,0.0,0.0,0.0,0.0
341,0378_06,0.0,2491.0,6.0,1173.0,1059.0
342,0378_07,0.0,0.0,0.0,0.0,0.0
343,0379_01,198.0,0.0,591.0,0.0,164.0
344,0380_01,0.0,0.0,0.0,0.0,0.0
345,0381_01,0.0,0.0,0.0,0.0,0.0
346,0381_02,0.0,0.0,,0.0,0.0
347,0382_01,348.0,0.0,0.0,4.0,368.0
348,0383_01,82.0,773.0,0.0,3693.0,140.0
349,0383_02,0.0,0.0,0.0,0.0,0.0
350,0384_01,0.0,0.0,0.0,0.0,0.0
351,0384_02,3.0,0.0,881.0,25.0,0.0
352,0385_01,13.0,747.0,0.0,0.0,128.0
353,0387_01,0.0,0.0,0.0,0.0,0.0
354,0388_01,0.0,0.0,0.0,0.0,0.0
355,0389_01,391.0,44.0,356.0,0.0,0.0
356,0391_01,69.0,5728.0,0.0,0.0,987.0
357,0392_01,0.0,111.0,0.0,1508.0,0.0
358,0395_01,0.0,11003.0,552.0,8157.0,5688.0
359,0395_02,1.0,608.0,0.0,3835.0,1.0
360,0396_01,0.0,0.0,0.0,0.0,0.0
361,0397_01,0.0,0.0,0.0,0.0,0.0
362,0398_01,28.0,420.0,36.0,6011.0,3.0
363,0401_01,1056.0,0.0,0.0,0.0,0.0
364,0401_02,1770.0,0.0,0.0,13.0,0.0
365,0402_01,0.0,0.0,0.0,0.0,0.0
366,0403_01,353.0,896.0,0.0,0.0,2.0
367,0405_01,177.0,,0.0,310.0,7.0
368,0407_01,,21.0,0.0,0.0,1699.0
369,0407_02,0.0,465.0,0.0,5.0,223.0
370,0407_03,0.0,0.0,0.0,0.0,0.0
371,0408_01,1134.0,113.0,52.0,0.0,0.0
372,0409_01,0.0,0.0,1116.0,2.0,0.0
373,0410_01,0.0,150.0,0.0,567.0,0.0
374,0411_01,691.0,0.0,101.0,140.0,0.0
375,0412_01,0.0,7255.0,5952.0,1537.0,0.0
376,0413_01,0.0,157.0,0.0,352.0,60.0
377,0415_01,0.0,0.0,0.0,0.0,0.0
378,0417_01,0.0,0.0,0.0,0.0,0.0
379,0417_02,0.0,1170.0,0.0,5467.0,1241.0
380,0417_03,0.0,0.0,0.0,0.0,0.0
381,0423_01,8.0,3584.0,0.0,13.0,57.0
382,0425_01,1094.0,2.0,26.0,34.0,1.0
383,0425_02,0.0,0.0,0.0,0.0,0.0
384,0425_03,0.0,0.0,0.0,0.0,0.0
385,0427_01,417.0,,7185.0,562.0,792.0
386,0428_01,0.0,4118.0,0.0,715.0,3139.0
387,0429_01,2.0,10116.0,0.0,2.0,225.0
388,0429_02,0.0,0.0,0.0,0.0,0.0
389,0430_01,0.0,1026.0,0.0,16.0,0.0
390,0431_01,0.0,0.0,0.0,0.0,0.0
391,0432_01,1483.0,10.0,0.0,0.0,0.0
392,0433_01,0.0,0.0,0.0,0.0,0.0
393,0433_02,4.0,891.0,0.0,2962.0,3656.0
394,0434_01,0.0,0.0,0.0,0.0,0.0
395,0435_01,0.0,0.0,0.0,0.0,0.0
396,0436_01,0.0,0.0,0.0,0.0,0.0
397,0436_02,46.0,11.0,0.0,622.0,0.0
398,0437_01,382.0,0.0,22.0,467.0,0.0
399,0437_02,7.0,0.0,840.0,26.0,0.0
400,0438_01,,0.0,0.0,0.0,0.0
401,0439_01,,5637.0,45.0,1936.0,56.0
402,0441_01,0.0,0.0,0.0,722.0,0.0
403,0442_01,7.0,1043.0,0.0,0.0,0.0
404,0444_01,2484.0,429.0,102.0,0.0,0.0
405,0444_02,1869.0,0.0,136.0,0.0,0.0
406,0445_01,1352.0,0.0,0.0,24.0,799.0
407,0445_02,0.0,0.0,0.0,77.0,715.0
408,0446_01,0.0,0.0,0.0,0.0,0.0
409,0447_01,9.0,0.0,795.0,0.0,0.0
410,0448_01,757.0,0.0,0.0,32.0,0.0
411,0448_02,0.0,0.0,0.0,0.0,0.0
412,0449_01,0.0,0.0,0.0,0.0,0.0
413,0452_01,0.0,0.0,0.0,0.0,0.0
414,0453_01,0.0,0.0,0.0,0.0,0.0
415,0453_02,0.0,0.0,0.0,0.0,0.0
416,0453_03,0.0,0.0,0.0,0.0,0.0
417,0454_01,5.0,4288.0,0.0,745.0,5.0
418,0454_02,0.0,0.0,0.0,0.0,0.0
419,0454_03,0.0,0.0,0.0,0.0,0.0
420,0456_01,210.0,185.0,188.0,59.0,73.0
421,0457_01,0.0,0.0,747.0,26.0,0.0
422,0457_02,0.0,0.0,0.0,0.0,0.0
423,0457_03,0.0,0.0,0.0,0.0,0.0
424,0458_01,0.0,0.0,0.0,0.0,0.0
425,0459_01,2156.0,0.0,0.0,59.0,2.0
426,0460_01,0.0,0.0,0.0,0.0,0.0
427,0461_01,0.0,869.0,0.0,0.0,0.0
428,0461_02,0.0,70.0,182.0,612.0,20.0
429,0461_03,0.0,0.0,0.0,0.0,0.0
430,0462_01,0.0,0.0,0.0,0.0,0.0
431,0463_01,865.0,0.0,257.0,,35.0
432,0463_02,928.0,852.0,81.0,0.0,0.0
433,0465_01,4.0,10.0,0.0,1178.0,428.0
434,0465_02,0.0,654.0,22.0,146.0,4.0
435,0466_01,0.0,0.0,863.0,1.0,1.0
436,0468_01,0.0,0.0,0.0,0.0,0.0
437,0470_01,0.0,0.0,0.0,0.0,
438,0470_02,0.0,0.0,0.0,0.0,0.0
439,0471_01,0.0,45.0,2.0,5183.0,170.0
440,0471_02,0.0,7972.0,0.0,0.0,4.0
441,0472_01,0.0,10.0,544.0,9.0,299.0
442,0474_01,0.0,0.0,0.0,0.0,0.0
443,0475_01,0.0,0.0,38.0,9.0,943.0
444,0476_01,,6.0,145.0,144.0,0.0
445,0476_02,0.0,0.0,0.0,0.0,0.0
446,0476_03,0.0,0.0,0.0,0.0,0.0
447,0477_01,0.0,5.0,0.0,1619.0,0.0
448,0480_01,,34.0,23.0,0.0,275.0
449,0481_01,0.0,0.0,0.0,0.0,0.0
450,0482_01,0.0,118.0,0.0,5.0,665.0
451,0482_02,0.0,14.0,0.0,0.0,615.0
452,0485_01,0.0,33.0,0.0,3348.0,55.0
453,0487_01,172.0,1794.0,12.0,4303.0,246.0
454,0488_01,0.0,0.0,,0.0,0.0
455,0490_01,0.0,0.0,0.0,0.0,0.0
456,0498_01,0.0,,0.0,0.0,0.0
457,0498_02,0.0,0.0,0.0,,0.0
458,0499_01,0.0,0.0,0.0,0.0,0.0
459,0499_02,0.0,0.0,0.0,0.0,0.0
460,0500_01,513.0,0.0,1749.0,82.0,0.0
461,0501_01,0.0,929.0,967.0,,481.0
462,0502_01,10.0,0.0,817.0,471.0,0.0
463,0503_01,0.0,0.0,0.0,0.0,0.0
464,0503_02,1821.0,0.0,47.0,29.0,0.0
465,0503_03,1246.0,35.0,16.0,0.0,0.0
466,0504_01,0.0,0.0,0.0,0.0,0.0
467,0504_02,0.0,0.0,0.0,0.0,0.0
468,0504_03,0.0,0.0,0.0,0.0,0.0
469,0504_04,0.0,1737.0,11.0,401.0,752.0
470,0504_05,0.0,0.0,0.0,0.0,0.0
471,0504_06,0.0,0.0,0.0,0.0,0.0
472,0506_01,0.0,0.0,0.0,0.0,0.0
473,0507_01,0.0,0.0,0.0,0.0,0.0
474,0510_01,0.0,16521.0,0.0,323.0,0.0
475,0512_01,0.0,5755.0,0.0,59.0,122.0
476,0512_02,0.0,0.0,0.0,0.0,0.0
477,0513_01,0.0,0.0,0.0,0.0,0.0
478,0515_01,0.0,0.0,0.0,0.0,0.0
479,0516_01,113.0,2492.0,41.0,0.0,2376.0
480,0517_01,1445.0,0.0,1.0,2.0,73.0
481,0518_01,0.0,0.0,0.0,0.0,0.0
482,0519_01,0.0,0.0,0.0,0.0,0.0
483,0520_01,62.0,,0.0,0.0,
484,0521_01,39.0,263.0,0.0,0.0,
485,0522_01,0.0,0.0,750.0,0.0,156.0
486,0523_01,553.0,213.0,1733.0,0.0,6.0
487,0525_01,0.0,0.0,0.0,0.0,0.0
488,0527_01,1172.0,11.0,3.0,0.0,4.0
489,0527_02,0.0,0.0,0.0,0.0,0.0
490,0528_01,0.0,1119.0,0.0,3427.0,6595.0
491,0529_01,0.0,0.0,0.0,0.0,0.0
492,0531_01,0.0,0.0,0.0,0.0,0.0
493,0531_02,0.0,0.0,0.0,0.0,0.0
494,0533_01,20.0,0.0,384.0,557.0,0.0
495,0534_01,98.0,715.0,29.0,5732.0,1902.0
496,0534_02,3573.0,1308.0,316.0,641.0,25.0
497,0537_01,0.0,5.0,0.0,320.0,352.0
498,0538_01,0.0,1073.0,0.0,0.0,5.0
499,0539_01,0.0,0.0,,0.0,0.0
500,0539_02,0.0,0.0,0.0,0.0,0.0
501,0539_03,0.0,0.0,0.0,0.0,0.0
502,0539_04,0.0,0.0,0.0,0.0,0.0
503,0539_05,0.0,1793.0,479.0,9.0,4987.0
504,0540_01,0.0,0.0,0.0,0.0,0.0
505,0540_02,1471.0,0.0,0.0,45.0,16.0
506,0542_01,9.0,0.0,0.0,0.0,878.0
507,0545_01,59.0,0.0,0.0,681.0,0.0
508,0546_01,930.0,691.0,838.0,0.0,0.0
509,0547_01,0.0,15.0,831.0,16.0,3.0
510,0548_01,0.0,86.0,704.0,0.0,1.0
511,0549_01,666.0,0.0,0.0,252.0,1.0
512,0549_02,0.0,0.0,0.0,0.0,0.0
513,0550_01,13.0,12.0,0.0,762.0,0.0
